"Year","Rank","Country code","Country","Region Code","Region","Overall","Coverage","Openness"
"2016","1","SWE","Sweden","EUN","Northern Europe","83.0","73.3","91.3"
"2016","2","CZE","Czech Republic","EUE","Eastern Europe","81.7","79.1","84.0"
"2016","3","NOR","Norway","EUN","Northern Europe","80.1","71.0","87.8"
"2016","4","POL","Poland","EUE","Eastern Europe","78.7","77.2","80.0"
"2016","5","EST","Estonia","EUN","Northern Europe","78.4","78.3","78.5"
"2016","6","LTU","Lithuania","EUN","Northern Europe","78.1","84.4","72.7"
"2016","7","DNK","Denmark","EUN","Northern Europe","77.9","65.4","88.7"
"2016","8","CAN","Canada","AMN","North America","77.1","67.5","85.3"
"2016","9","USA","United States","AMN","North America","75.9","77.3","74.6"
"2016","10","FIN","Finland","EUN","Northern Europe","74.5","71.6","77.0"
"2016","11","LVA","Latvia","EUN","Northern Europe","73.5","72.5","74.2"
"2016","12","ITA","Italy","EUZ","Southern Europe","73.2","64.8","80.4"
"2016","13","NLD","Netherlands","EUW","Western Europe","71.6","55.9","85.0"
"2016","14","SVN","Slovenia","EUZ","Southern Europe","70.0","66.2","73.4"
"2016","15","MEX","Mexico","AMM","Central America","69.0","56.7","79.7"
"2016","16","PRT","Portugal","EUZ","Southern Europe","68.8","61.6","74.9"
"2016","17","NZL","New Zealand","OAZ","Australia and New Zealand
","67.6","58.7","75.3"
"2016","18","DEU","Germany","EUW","Western Europe","66.4","60.0","72.0"
"2016","19","AUT","Austria","EUW","Western Europe","65.5","58.5","71.5"
"2016","19","ESP","Spain","EUZ","Southern Europe","65.5","57.1","72.7"
"2016","21","AUS","Australia","OAZ","Australia and New Zealand
","63.0","57.4","67.8"
"2016","22","MNG","Mongolia","ASF","Eastern Asia","62.7","62.0","63.4"
"2016","23","KOR","Korea, Rep.","ASF","Eastern Asia","62.3","64.9","60.2"
"2016","24","MDA","Moldova","EUE","Eastern Europe","61.4","57.3","64.8"
"2016","25","CHE","Switzerland","EUW","Western Europe","61.3","62.3","60.5"
"2016","25","IRL","Ireland","EUN","Northern Europe","61.3","53.7","67.8"
"2016","27","BGR","Bulgaria","EUE","Eastern Europe","61.0","64.9","57.6"
"2016","28","HRV","Croatia","EUZ","Southern Europe","59.5","65.2","54.5"
"2016","29","HUN","Hungary","EUE","Eastern Europe","59.3","62.2","56.7"
"2016","30","MKD","North Macedonia","EUZ","Southern Europe","59.0","61.0","57.4"
"2016","31","ECU","Ecuador","AMZ","South America","57.7","55.6","59.4"
"2016","32","RWA","Rwanda","AFE","Eastern Africa","57.3","44.6","68.1"
"2016","33","KGZ","Kyrgyz Republic","ASC","Central Asia","57.1","63.3","51.8"
"2016","34","MUS","Mauritius","AFE","Eastern Africa","56.7","56.5","56.8"
"2016","35","ALB","Albania","EUZ","Southern Europe","56.0","57.9","54.4"
"2016","36","GEO","Georgia","ASW","Western Asia","55.8","59.1","53.0"
